!ENTER	[!ENTER]	sil
!EXIT	[!EXIT]	sil
^e	[^e]	cc e
{esnaest	[{esnaest]	S e s n a e s t
{est	[{est]	S e s t
~etiri	[~etiri]	C e t i r i
~etrdeset	[~etrdeset]	C e t r d e s e t
~etrnaest	[~etrnaest]	C e t r n a e s t
~e{^i	[~e{^i]	C e S cc i
~vora	[~vora]	C v o r a
~vorova	[~vorova]	C v o r o v a
<glazba>	[<glazba>]	glazba
<papir>	[<papir>]	papir
<sil>	[<sil>]	sil
<uzdah>	[<uzdah>]	uzdah
a	[a]	a
ali	[ali]	a l i
bit	[bit]	b i t
biti	[biti]	b i t i
bura	[bura]	b u r a
bure	[bure]	b u r e
centra	[centra]	c e n t r a
dalmacije	[dalmacije]	d a l m a c i j e
dalmaciji	[dalmaciji]	d a l m a c i j i
dana	[dana]	d a n a
danas	[danas]	d a n a s
deset	[deset]	d e s e t
devet	[devet]	d e v e t
devetnaest	[devetnaest]	d e v e t n a e s t
dijelu	[dijelu]	d i j e l u
djelomice	[djelomice]	d j e l o m i c e
dnevna	[dnevna]	d n e v n a
do	[do]	d o
dr`avnoga	[dr`avnoga]	d r Z a v n o g a
drugdje	[drugdje]	d r u g d j e
drugom	[drugom]	d r u g o m
dva	[dva]	d v a
dvadeset	[dvadeset]	d v a d e s e t
dvanaest	[dvanaest]	d v a n a e s t
gorju	[gorju]	g o r j u
gorskoj	[gorskoj]	g o r s k o j
grmljavina	[grmljavina]	g r m l j a v i n a
grmljavinom	[grmljavinom]	g r m l j a v i n o m
grmljavinu	[grmljavinu]	g r m l j a v i n u
hidrometeorolo{kog	[hidrometeorolo{kog]	h i d r o m e t e o r o l o S k o g
hrvatskoj	[hrvatskoj]	h r v a t s k o j
i	[i]	i
ili	[ili]	i l i
istoku	[istoku]	i s t o k u
isto~ni	[isto~ni]	i s t o C n i
isto~njak	[isto~njak]	i s t o C n j a k
istre	[istre]	i s t r e
izme}u	[izme}u]	i z m e dz u
izra`eni	[izra`eni]	i z r a Z e n i
izra`eniji	[izra`eniji]	i z r a Z e n i j i
izvje{taj	[izvje{taj]	i z v j e S t a j
jadran	[jadran]	j a d r a n
jadrana	[jadrana]	j a d r a n a
jadranu	[jadranu]	j a d r a n u
jak	[jak]	j a k
ja~a	[ja~a]	j a C a
ja~e	[ja~e]	j a C e
ja~i	[ja~i]	j a C i
je	[je]	j e
jedan	[jedan]	j e d a n
jedanaest	[jedanaest]	j e d a n a e s t
jo{	[jo{]	j o S
ju`ni	[ju`ni]	j u Z n i
ju`nije	[ju`nije]	j u Z n i j e
ju`nom	[ju`nom]	j u Z n o m
ju`nome	[ju`nome]	j u Z n o m e
juga	[juga]	j u g a
jugo	[jugo]	j u g o
jugoisto~ni	[jugoisto~ni]	j u g o i s t o C n i
jugozapadni	[jugozapadni]	j u g o z a p a d n i
jugozapadnjak	[jugozapadnjak]	j u g o z a p a d n j a k
jugozapadnjaka	[jugozapadnjaka]	j u g o z a p a d n j a k a
jugu	[jugu]	j u g u
jutarnja	[jutarnja]	j u t a r n j a
kilometara	[kilometara]	k i l o m e t a r a
ki{a	[ki{a]	k i S a
ki{e	[ki{e]	k i S e
ki{om	[ki{om]	k i S o m
ki{u	[ki{u]	k i S u
koji	[koji]	k o j i
krajevima	[krajevima]	k r a j e v i m a
krajnjem	[krajnjem]	k r a j n j e m
kranjem	[kranjem]	k r a n j e m
kratkotrajno	[kratkotrajno]	k r a t k o t r a j n o
lici	[lici]	l i c i
lokalno	[lokalno]	l o k a l n o
magla	[magla]	m a g l a
mala	[mala]	m a l a
malo	[malo]	m a l o
manjem	[manjem]	m a n j e m
meteorolo{kog	[meteorolo{kog]	m e t e o r o l o S k o g
mjestimice	[mjestimice]	m j e s t i m i c e
mo`e	[mo`e]	m o Z e
mogu	[mogu]	m o g u
mogu^	[mogu^]	m o g u cc
mogu^a	[mogu^a]	m o g u cc a
mogu^e	[mogu^e]	m o g u cc e
mogu^i	[mogu^i]	m o g u cc i
mogu^nost	[mogu^nost]	m o g u cc n o s t
mora	[mora]	m o r a
more	[more]	m o r e
moru	[moru]	m o r u
na	[na]	n a
najni`a	[najni`a]	n a j n i Z a
najprije	[najprije]	n a j p r i j e
najvi{a	[najvi{a]	n a j v i S a
naoblaka	[naoblaka]	n a o b l a k a
naoblake	[naoblake]	n a o b l a k e
naoblakom	[naoblakom]	n a o b l a k o m
naoblaku	[naoblaku]	n a o b l a k u
naprije	[naprije]	n a p r i j e
nave~er	[nave~er]	n a v e C e r
ne	[ne]	n e
nestabilno	[nestabilno]	n e s t a b i l n o
nevere	[nevere]	n e v e r e
neverin	[neverin]	n e v e r i n
neverini	[neverini]	n e v e r i n i
nevremena	[nevremena]	n e v r e m e n a
no	[no]	n o
no^i	[no^i]	n o cc i
no^u	[no^u]	n o cc u
o	[o]	o
obalu	[obalu]	o b a l u
obilnije	[obilnije]	o b i l n i j e
oblaka	[oblaka]	o b l a k a
obla~no	[obla~no]	o b l a C n o
oborine	[oborine]	o b o r i n e
od	[od]	o d
oko	[oko]	o k o
okrenuti	[okrenuti]	o k r e n u t i
okretanju	[okretanju]	o k r e t a n j u
okretat	[okretat]	o k r e t a t
osam	[osam]	o s a m
osamnaest	[osamnaest]	o s a m n a e s t
