!ENTER	sil
!EXIT	sil
^e	cc e
{esnaest	S e s n a e s t
{est	S e s t
~etiri	C e t i r i
~etrdeset	C e t r d e s e t
~etrnaest	C e t r n a e s t
~e{^i	C e S cc i
~vora	C v o r a
~vorova	C v o r o v a
<glazba>	glazba
<papir>	papir
<sil>	sil
<uzdah>	uzdah
a	a
ali	a l i
bit	b i t
biti	b i t i
bura	b u r a
bure	b u r e
centra	c e n t r a
dalmacije	d a l m a c i j e
dalmaciji	d a l m a c i j i
dana	d a n a
danas	d a n a s
deset	d e s e t
devet	d e v e t
devetnaest	d e v e t n a e s t
dijelu	d i j e l u
djelomice	d j e l o m i c e
dnevna	d n e v n a
do	d o
dr`avnoga	d r Z a v n o g a
drugdje	d r u g d j e
drugom	d r u g o m
dva	d v a
dvadeset	d v a d e s e t
dvanaest	d v a n a e s t
gorju	g o r j u
gorskoj	g o r s k o j
grmljavina	g r m l j a v i n a
grmljavinom	g r m l j a v i n o m
grmljavinu	g r m l j a v i n u
hidrometeorolo{kog	h i d r o m e t e o r o l o S k o g
hrvatskoj	h r v a t s k o j
i	i
ili	i l i
istoku	i s t o k u
isto~ni	i s t o C n i
isto~njak	i s t o C n j a k
istre	i s t r e
izme}u	i z m e dz u
izra`eni	i z r a Z e n i
izra`eniji	i z r a Z e n i j i
izvje{taj	i z v j e S t a j
jadran	j a d r a n
jadrana	j a d r a n a
jadranu	j a d r a n u
jak	j a k
ja~a	j a C a
ja~e	j a C e
ja~i	j a C i
je	j e
jedan	j e d a n
jedanaest	j e d a n a e s t
jo{	j o S
ju`ni	j u Z n i
ju`nije	j u Z n i j e
ju`nom	j u Z n o m
ju`nome	j u Z n o m e
juga	j u g a
jugo	j u g o
jugoisto~ni	j u g o i s t o C n i
jugozapadni	j u g o z a p a d n i
jugozapadnjak	j u g o z a p a d n j a k
jugozapadnjaka	j u g o z a p a d n j a k a
jugu	j u g u
jutarnja	j u t a r n j a
kilometara	k i l o m e t a r a
ki{a	k i S a
ki{e	k i S e
ki{om	k i S o m
ki{u	k i S u
koji	k o j i
krajevima	k r a j e v i m a
krajnjem	k r a j n j e m
kranjem	k r a n j e m
kratkotrajno	k r a t k o t r a j n o
lici	l i c i
lokalno	l o k a l n o
magla	m a g l a
mala	m a l a
malo	m a l o
manjem	m a n j e m
meteorolo{kog	m e t e o r o l o S k o g
mjestimice	m j e s t i m i c e
mo`e	m o Z e
mogu	m o g u
mogu^	m o g u cc
mogu^a	m o g u cc a
mogu^e	m o g u cc e
mogu^i	m o g u cc i
mogu^nost	m o g u cc n o s t
mora	m o r a
more	m o r e
moru	m o r u
na	n a
najni`a	n a j n i Z a
najprije	n a j p r i j e
najvi{a	n a j v i S a
naoblaka	n a o b l a k a
naoblake	n a o b l a k e
naoblakom	n a o b l a k o m
naoblaku	n a o b l a k u
naprije	n a p r i j e
nave~er	n a v e C e r
ne	n e
nestabilno	n e s t a b i l n o
nevere	n e v e r e
neverin	n e v e r i n
neverini	n e v e r i n i
nevremena	n e v r e m e n a
no	n o
no^i	n o cc i
no^u	n o cc u
o	o
obalu	o b a l u
obilnije	o b i l n i j e
oblaka	o b l a k a
obla~no	o b l a C n o
oborine	o b o r i n e
od	o d
oko	o k o
okrenuti	o k r e n u t i
okretanju	o k r e t a n j u
okretat	o k r e t a t
osam	o s a m
osamnaest	o s a m n a e s t
osobito	o s o b i t o
otvorenom	o t v o r e n o m
otvorenome	o t v o r e n o m e
pet	p e t
petnaest	p e t n a e s t
pljusak	p l j u s a k
pljuskove	p l j u s k o v e
pljuskovi	p l j u s k o v i
